Name	Start Datetime	Time	Percent	Points Earned	Points Possible
41701403	2018-03-20 17:03:47-07:00	0:07:52	73	11	15
41701460	2018-03-20 17:10:11-07:00	0:01:16	93	14	15
41702642	2018-03-20 17:15:13-07:00	0:01:48	47	7	15
41702838	2018-03-20 17:03:17-07:00	0:17:47	80	12	15
41703219	2018-03-20 17:03:02-07:00	0:08:49	100	15	15
41703541	2018-03-20 17:03:51-07:00	0:13:43	87	13	15
41703748	2018-03-20 17:03:14-07:00	0:15:36	87	13	15
41704931	2018-03-20 17:07:03-07:00	0:05:50	100	15	15
41705402	2018-03-20 17:03:38-07:00	0:05:47	100	15	15
41705439	2018-03-20 17:03:05-07:00	0:04:18	87	13	15
41705834	2018-03-20 17:04:12-07:00	0:11:23	80	12	15
41705835	2018-03-20 17:04:32-07:00	0:12:24	53	8	15
41705906	2018-03-20 17:06:20-07:00	0:05:34	87	13	15
41705910	2018-03-20 17:03:37-07:00	0:10:06	87	13	15
41705914	2018-03-20 17:02:56-07:00	0:09:05	27	4	15
41706017	2018-03-20 17:03:27-07:00	0:07:11	47	7	15
41706019	2018-03-20 17:04:08-07:00	0:08:14	93	14	15
41706020	2018-03-20 17:03:46-07:00	0:16:15	93	14	15
41706022	2018-03-20 17:03:40-07:00	0:16:20	100	15	15
41706023	2018-03-20 17:03:23-07:00	0:06:24	87	13	15
41706024	2018-03-20 17:03:45-07:00	0:10:33	67	10	15
41706029	2018-03-20 17:08:36-07:00	0:07:20	33	5	15
41706036	2018-03-20 17:04:01-07:00	0:10:20	93	14	15
41706105	2018-03-20 17:06:05-07:00	0:06:47	60	9	15
41706106	2018-03-20 17:03:39-07:00	0:05:32	80	12	15
41706107	2018-03-20 17:06:16-07:00	0:05:21	100	15	15
41706108	2018-03-20 17:03:26-07:00	0:03:30	100	15	15
41706121	2018-03-20 17:03:58-07:00	0:12:35	73	11	15
41706138	2018-03-20 17:04:23-07:00	0:12:42	73	11	15
41706139	2018-03-20 17:03:57-07:00	0:12:58	73	11	15
417061460	2018-03-20 17:05:55-07:00	0:03:19	100	15	15
41706205	2018-03-20 17:03:40-07:00	0:14:26	33	5	15
41706219	2018-03-20 17:04:56-07:00	0:10:15	93	14	15
41706408	2018-03-20 17:04:38-07:00	0:06:56	60	9	15
41706410	2018-03-20 17:04:18-07:00	0:10:40	100	15	15
41706427	2018-03-20 17:04:51-07:00	0:08:38	40	6	15
41706601	2018-03-20 17:05:16-07:00	0:12:45	67	10	15
41706602	2018-03-20 17:15:45-07:00	0:03:16	33	5	15
41706608	2018-03-20 17:03:37-07:00	0:13:22	67	10	15
41706611	2018-03-20 17:04:05-07:00	0:12:29	93	14	15
41706615	2018-03-20 17:04:23-07:00	0:09:36	87	13	15
41706617	2018-03-20 17:05:11-07:00	0:13:47	73	11	15
41706628	2018-03-20 17:07:56-07:00	0:12:21	33	5	15
41706630	2018-03-20 17:03:52-07:00	0:11:23	47	7	15
41706704	2018-03-20 17:05:55-07:00	0:10:46	100	15	15
41706708	2018-03-20 17:03:31-07:00	0:08:44	100	15	15
41706714	2018-03-20 17:04:02-07:00	0:14:29	13	2	15
41706715	2018-03-20 17:06:43-07:00	0:11:14	40	6	15
41706716	2018-03-20 17:07:54-07:00	0:08:35	60	9	15
41706717	2018-03-20 17:03:35-07:00	0:09:44	87	13	15
41706718	2018-03-20 17:17:12-07:00	0:03:42	80	12	15
41706739	2018-03-20 17:11:24-07:00	0:08:48	60	9	15
Greg	2018-03-20 04:07:15-07:00	0:06:10	100	15	15
???	2018-03-20 17:09:36-07:00	0:10:01	53	8	15
