Name,Start Datetime,Time,Percent,Points Earned,Points Possible
12345689,2018-03-06 07:28:57-08:00,0:04:55,83,5,6
14701234,2018-03-06 02:36:58-08:00,0:04:41,83,5,6
41701234,2018-03-06 01:49:23-08:00,0:04:07,67,2,3
41701234,2018-03-06 01:55:21-08:00,0:02:07,67,2,3
41701234,2018-03-06 02:43:25-08:00,0:05:05,83,5,6
41701403,2018-03-06 17:09:16-08:00,0:01:07,67,4,6
41701460,2018-03-06 17:03:42-08:00,0:10:07,67,4,6
41702642,2018-03-06 17:19:31-08:00,0:01:35,83,5,6
41702838,2018-03-06 17:05:34-08:00,0:03:30,83,5,6
41703219,2018-03-06 17:04:09-08:00,0:01:39,83,5,6
41703541,2018-03-06 17:07:22-08:00,0:04:23,100,6,6
41703748,2018-03-06 17:13:16-08:00,0:01:04,67,4,6
41704931,2018-03-06 17:10:56-08:00,0:02:24,83,5,6
41705402,2018-03-06 17:13:16-08:00,0:02:54,83,5,6
41705439,2018-03-06 17:14:21-08:00,0:00:47,83,5,6
41705834,2018-03-06 17:11:59-08:00,0:04:17,83,5,6
41705835,2018-03-06 17:11:40-08:00,0:05:11,83,5,6
41705906,2018-03-06 17:10:13-08:00,0:03:07,83,5,6
41705910,2018-03-06 17:04:46-08:00,0:05:10,83,5,6
41705912,2018-03-06 17:05:09-08:00,0:03:40,83,5,6
41705914,2018-03-06 17:05:29-08:00,0:02:48,67,4,6
41706017,2018-03-06 17:15:06-08:00,0:01:55,67,4,6
41706019,2018-03-06 17:11:19-08:00,0:03:32,67,4,6
41706019,2018-03-06 17:15:55-08:00,0:01:01,83,5,6
41706020,2018-03-06 17:10:03-08:00,0:06:43,83,5,6
41706022,2018-03-06 17:04:50-08:00,0:04:10,83,5,6
41706023,2018-03-06 17:05:32-08:00,0:03:29,83,5,6
41706024,2018-03-06 17:13:40-08:00,0:03:08,83,5,6
41706029,2018-03-06 17:13:04-08:00,0:03:14,67,4,6
41706036,2018-03-06 17:16:02-08:00,0:01:05,83,5,6
41706105,2018-03-06 17:07:33-08:00,0:05:57,83,5,6
41706106,2018-03-06 17:07:02-08:00,0:04:49,83,5,6
41706107,2018-03-06 17:07:55-08:00,0:05:10,83,5,6
41706108,2018-03-06 17:07:28-08:00,0:04:26,83,5,6
41706121,2018-03-06 17:17:40-08:00,0:01:14,100,6,6
41706138,2018-03-06 17:18:47-08:00,0:03:57,100,6,6
41706139,2018-03-06 17:10:00-08:00,0:02:57,83,5,6
41706139,2018-03-06 17:24:12-08:00,0:01:37,100,6,6
41706205,2018-03-06 17:03:57-08:00,0:04:17,83,5,6
41706205,2018-03-06 17:19:10-08:00,0:00:56,100,6,6
41706219,2018-03-06 17:05:09-08:00,0:08:21,83,5,6
41706408,2018-03-06 17:10:11-08:00,0:04:23,83,5,6
41706410,2018-03-06 17:09:45-08:00,0:03:21,67,4,6
41706427,2018-03-06 17:06:43-08:00,0:02:02,50,3,6
41706427,2018-03-06 17:23:01-08:00,0:02:07,67,4,6
41706601,2018-03-06 17:09:13-08:00,0:04:20,83,5,6
41706602,2018-03-06 17:08:08-08:00,0:03:51,83,5,6
41706611,2018-03-06 17:24:56-08:00,0:01:54,83,5,6
41706615,2018-03-06 17:09:48-08:00,0:03:48,67,4,6
41706617,2018-03-06 17:10:48-08:00,0:04:21,83,5,6
41706626,2018-03-06 17:11:28-08:00,0:03:25,83,5,6
41706628,2018-03-06 17:04:25-08:00,0:03:32,83,5,6
41706630,2018-03-06 17:08:48-08:00,0:01:39,67,4,6
41706704,2018-03-06 17:06:03-08:00,0:05:00,67,4,6
41706708,2018-03-06 17:06:54-08:00,0:06:10,83,5,6
41706714,2018-03-06 17:05:37-08:00,0:04:35,67,4,6
41706715,2018-03-06 17:15:27-08:00,0:01:22,67,4,6
41706716,2018-03-06 17:11:00-08:00,0:01:13,100,6,6
41706717,2018-03-06 17:06:36-08:00,0:05:46,83,5,6
41706718,2018-03-06 17:15:23-08:00,0:03:06,67,4,6
41706739,2018-03-06 17:07:53-08:00,0:08:15,83,5,6
Hector,2018-03-06 17:10:09-08:00,0:02:35,83,5,6
Wed8,2018-03-06 17:11:47-08:00,0:02:06,67,4,6
