Name	Start Datetime	Time	Percent	Points Earned	Points Possible
40900229	2018-03-20 23:03:36-07:00	0:09:37	40	6	15
41500133	2018-03-20 23:03:35-07:00	0:14:52	67	10	15
41500252	2018-03-20 23:02:58-07:00	0:12:08	93	14	15
41502201	2018-03-20 23:03:42-07:00	0:04:47	100	15	15
41600124	2018-03-20 23:03:26-07:00	0:08:05	73	11	15
41600213	2018-03-20 23:02:58-07:00	0:07:23	73	11	15
41600448	2018-03-20 23:04:23-07:00	0:10:15	33	5	15
41600463	2018-03-20 23:04:34-07:00	0:05:57	87	13	15
41600533	2018-03-20 23:03:56-07:00	0:10:11	33	5	15
41600535	2018-03-20 23:04:02-07:00	0:13:43	67	10	15
41600537	2018-03-20 23:03:04-07:00	0:15:30	73	11	15
41600611	2018-03-20 23:17:43-07:00	0:04:36	87	13	15
41600626	2018-03-20 23:04:01-07:00	0:07:20	100	15	15
41600629	2018-03-20 23:03:25-07:00	0:13:36	60	9	15
41600731	2018-03-20 23:04:22-07:00	0:08:37	20	3	15
41600733	2018-03-20 23:04:04-07:00	0:11:06	60	9	15
41600740	2018-03-20 23:10:58-07:00	0:02:41	13	2	15
41600829	2018-03-20 23:07:02-07:00	0:07:02	20	3	15
41600838	2018-03-20 23:03:39-07:00	0:08:52	40	6	15
41600840	2018-03-20 23:03:44-07:00	0:12:57	80	12	15
41600928	2018-03-20 23:03:01-07:00	0:04:50	100	15	15
41600932	2018-03-20 23:03:22-07:00	0:09:08	27	4	15
41601033	2018-03-20 23:03:38-07:00	0:08:36	27	4	15
41601046	2018-03-20 23:03:45-07:00	0:12:06	47	7	15
41601107	2018-03-20 23:03:27-07:00	0:07:02	67	10	15
41601111	2018-03-20 23:05:31-07:00	0:05:57	100	15	15
41601131	2018-03-20 23:03:38-07:00	0:08:50	73	11	15
41601134	2018-03-20 23:05:37-07:00	0:10:44	100	15	15
41601148	2018-03-20 23:03:32-07:00	0:06:56	33	5	15
41601328	2018-03-20 23:04:00-07:00	0:04:48	47	7	15
41601335	2018-03-20 23:03:05-07:00	0:09:01	20	3	15
41601338	2018-03-20 23:04:08-07:00	0:07:13	53	8	15
41601427	2018-03-20 23:03:42-07:00	0:14:24	53	8	15
41601434	2018-03-20 23:13:50-07:00	0:01:41	80	12	15
41601438	2018-03-20 23:03:39-07:00	0:08:47	73	11	15
41601441	2018-03-20 23:05:01-07:00	0:13:07	67	10	15
41601444	2018-03-20 23:06:08-07:00	0:09:32	93	14	15
41601503	2018-03-20 23:03:38-07:00	0:14:41	100	15	15
41601504	2018-03-20 23:04:08-07:00	0:09:57	93	14	15
41601538	2018-03-20 23:06:50-07:00	0:11:28	13	2	15
41601542	2018-03-20 23:03:24-07:00	0:06:36	87	13	15
41601543	2018-03-20 23:02:53-07:00	0:06:14	87	13	15
41601621	2018-03-20 23:03:17-07:00	0:09:28	73	11	15
41601624	2018-03-20 23:03:42-07:00	0:09:59	87	13	15
41601653	2018-03-20 23:03:58-07:00	0:09:59	27	4	15
41601657	2018-03-20 23:06:52-07:00	0:10:15	47	7	15
41603212	2018-03-20 23:03:23-07:00	0:12:02	27	4	15
41603703	2018-03-20 23:03:14-07:00	0:06:04	80	12	15
41603934	2018-03-20 23:09:13-07:00	0:08:46	60	9	15
41604506	2018-03-20 23:03:33-07:00	0:11:58	53	8	15
41605735	2018-03-20 23:03:28-07:00	0:04:56	100	15	15
41606946	2018-03-20 23:13:49-07:00	0:02:57	87	13	15
Teacher	2018-03-20 23:21:17-07:00	0:04:37	100	15	15
Wed2	2018-03-20 23:03:30-07:00	0:07:36	40	6	15
Wed2	2018-03-20 23:04:32-07:00	0:05:14	87	13	15
