Name	Start Datetime	Time	Percent	Points Earned	Points Possible
41400229	2018-03-21 04:35:56-07:00	0:08:31	100	15	15
41700209	2018-03-21 04:45:20-07:00	0:05:59	60	9	15
41700213	2018-03-21 04:33:27-07:00	0:16:43	67	10	15
41700214	2018-03-21 04:35:16-07:00	0:13:18	87	13	15
41700218	2018-03-21 04:39:44-07:00	0:11:06	13	2	15
41700221	2018-03-21 04:34:01-07:00	0:09:24	87	13	15
41700222	2018-03-21 04:34:04-07:00	0:12:28	60	9	15
41700223	2018-03-21 04:34:18-07:00	0:07:50	93	14	15
41700227	2018-03-21 04:35:24-07:00	0:07:56	100	15	15
41700230	2018-03-21 04:35:29-07:00	0:08:49	100	15	15
41700239	2018-03-21 04:47:11-07:00	0:04:41	67	10	15
41700244	2018-03-21 04:34:19-07:00	0:12:32	80	12	15
41700245	2018-03-21 04:36:52-07:00	0:13:23	60	9	15
41700303	2018-03-21 04:38:41-07:00	0:04:55	87	13	15
41700304	2018-03-21 04:35:17-07:00	0:12:11	73	11	15
41700306	2018-03-21 04:35:00-07:00	0:10:55	67	10	15
41700313	2018-03-21 04:34:47-07:00	0:05:14	100	15	15
41700316	2018-03-21 04:34:17-07:00	0:04:39	100	15	15
41700319	2018-03-21 04:37:40-07:00	0:11:38	73	11	15
41700321	2018-03-21 04:34:36-07:00	0:14:28	80	12	15
41700323	2018-03-21 04:34:24-07:00	0:06:43	87	13	15
41700328	2018-03-21 04:35:01-07:00	0:10:57	100	15	15
41700329	2018-03-21 04:35:41-07:00	0:08:16	100	15	15
41700330	2018-03-21 04:35:18-07:00	0:12:54	93	14	15
41700331	2018-03-21 04:40:42-07:00	0:02:14	100	15	15
41700333	2018-03-21 04:35:22-07:00	0:11:28	67	10	15
41700334	2018-03-21 04:35:08-07:00	0:05:43	100	15	15
41700345	2018-03-21 04:36:35-07:00	0:13:36	93	14	15
41700350	2018-03-21 04:35:48-07:00	0:08:32	87	13	15
41700351	2018-03-21 04:39:45-07:00	0:08:19	40	6	15
41700353	2018-03-21 04:34:19-07:00	0:08:50	100	15	15
41700406	2018-03-21 04:34:58-07:00	0:11:03	87	13	15
41700412	2018-03-21 04:45:44-07:00	0:02:48	67	10	15
41700413	2018-03-21 04:47:28-07:00	0:04:17	87	13	15
41700416	2018-03-21 04:35:51-07:00	0:13:00	100	15	15
41700417	2018-03-21 04:44:42-07:00	0:05:28	80	12	15
41700418	2018-03-21 04:34:36-07:00	0:14:18	87	13	15
41700750	2018-03-21 04:39:48-07:00	0:10:19	100	15	15
41701324	2018-03-21 04:34:42-07:00	0:03:23	93	14	15
41701348	2018-03-21 04:36:47-07:00	0:07:19	100	15	15
41701529	2018-03-21 04:39:23-07:00	0:03:50	100	15	15
41701532	2018-03-21 04:34:24-07:00	0:15:52	80	12	15
41701538	2018-03-21 04:36:02-07:00	0:12:59	80	12	15
41701548	2018-03-21 04:36:24-07:00	0:15:26	60	9	15
41701550	2018-03-21 04:41:07-07:00	0:04:45	87	13	15
41701553	2018-03-21 05:00:33-07:00	0:03:56	60	9	15
41701601	2018-03-21 04:34:12-07:00	0:14:39	60	9	15
41702511	2018-03-21 04:35:40-07:00	0:05:58	100	15	15
41702515	2018-03-21 04:35:25-07:00	0:03:03	93	14	15
41703116	2018-03-21 04:37:34-07:00	0:10:49	27	4	15
41705726	2018-03-21 04:34:09-07:00	0:06:07	80	12	15
41706804	2018-03-21 04:35:06-07:00	0:04:26	100	15	15
Teacher	2018-03-21 04:52:32-07:00	0:03:58	100	15	15
Wed730	2018-03-21 04:34:13-07:00	0:09:16	60	9	15
