Name	Start Datetime	Time	Percent	Points Earned	Points Possible
41701435	2018-03-21 17:04:32-07:00	0:03:27	100	15	15
41702844	2018-03-21 17:04:23-07:00	0:06:15	20	3	15
41702947	2018-03-21 17:03:22-07:00	0:14:14	27	4	15
41703525	2018-03-21 17:02:47-07:00	0:12:59	87	13	15
41703534	2018-03-21 17:03:34-07:00	0:04:14	100	15	15
41703749	2018-03-21 17:03:46-07:00	0:10:00	40	6	15
41703919	2018-03-21 17:14:19-07:00	0:08:11	80	12	15
41704319	2018-03-21 17:05:20-07:00	0:13:49	33	5	15
41704814	2018-03-21 17:04:34-07:00	0:06:36	100	15	15
41704839	2018-03-21 17:02:49-07:00	0:07:02	100	15	15
41704909	2018-03-21 17:06:26-07:00	0:11:05	47	7	15
41704913	2018-03-21 17:03:52-07:00	0:15:04	27	4	15
41704936	2018-03-21 17:03:41-07:00	0:08:43	100	15	15
41704945	2018-03-21 17:03:29-07:00	0:09:54	67	10	15
41705035	2018-03-21 17:06:19-07:00	0:07:35	73	11	15
41705036	2018-03-21 17:04:33-07:00	0:09:54	60	9	15
41705037	2018-03-21 17:03:47-07:00	0:07:45	100	15	15
41705142	2018-03-21 17:03:33-07:00	0:08:36	100	15	15
41705202	2018-03-21 17:03:31-07:00	0:06:16	100	15	15
41705203	2018-03-21 17:09:09-07:00	0:05:18	87	13	15
41705204	2018-03-21 17:03:50-07:00	0:14:15	53	8	15
41705210	2018-03-21 17:03:27-07:00	0:05:30	87	13	15
41705213	2018-03-21 17:03:28-07:00	0:08:42	53	8	15
41705228	2018-03-21 17:05:19-07:00	0:06:00	60	9	15
41705233	2018-03-21 17:03:36-07:00	0:06:03	100	15	15
41705243	2018-03-21 17:04:35-07:00	0:14:50	40	6	15
41705312	2018-03-21 17:05:01-07:00	0:09:25	100	15	15
41705330	2018-03-21 17:03:22-07:00	0:11:37	53	8	15
41705409	2018-03-21 17:05:25-07:00	0:12:55	73	11	15
41705415	2018-03-21 17:02:52-07:00	0:04:19	100	15	15
41705416	2018-03-21 17:10:12-07:00	0:04:09	80	12	15
41705418	2018-03-21 17:04:29-07:00	0:08:20	60	9	15
41705420	2018-03-21 17:03:53-07:00	0:13:27	20	3	15
41705426	2018-03-21 17:02:52-07:00	0:06:44	100	15	15
41705517	2018-03-21 17:03:17-07:00	0:13:59	73	11	15
41705527	2018-03-21 17:03:07-07:00	0:09:05	73	11	15
41705627	2018-03-21 17:05:25-07:00	0:12:05	67	10	15
41705638	2018-03-21 17:02:55-07:00	0:09:10	87	13	15
41705708	2018-03-21 17:02:56-07:00	0:12:08	67	10	15
41705709	2018-03-21 17:03:17-07:00	0:13:02	73	11	15
41705717	2018-03-21 17:05:13-07:00	0:13:50	67	10	15
41705722	2018-03-21 17:02:44-07:00	0:05:51	100	15	15
41705731	2018-03-21 17:04:09-07:00	0:05:00	80	12	15
41705736	2018-03-21 17:04:28-07:00	0:10:13	87	13	15
41705740	2018-03-21 17:03:19-07:00	0:12:47	80	12	15
41705743	2018-03-21 17:03:31-07:00	0:12:02	93	14	15
41705744	2018-03-21 17:02:59-07:00	0:12:24	73	11	15
41705827	2018-03-21 17:03:44-07:00	0:08:12	73	11	15
41706442	2018-03-21 17:12:54-07:00	0:11:50	67	10	15
41706514	2018-03-21 17:02:39-07:00	0:14:42	73	11	15
41707111	2018-03-21 17:04:03-07:00	0:15:10	60	9	15
51705137	2018-03-21 17:09:40-07:00	0:06:04	80	12	15
Thurs8	2018-03-21 17:03:29-07:00	0:05:51	60	9	15
