Name	Start Datetime	Time	Percent	Points Earned	Points Possible
41700516	2018-03-21 19:04:43-07:00	0:10:39	93	14	15
41700743	2018-03-21 19:04:46-07:00	0:05:02	93	14	15
41701428	2018-03-21 19:04:08-07:00	0:05:47	100	15	15
41701713	2018-03-21 19:05:02-07:00	0:11:40	73	11	15
41701719	2018-03-21 19:05:06-07:00	0:14:03	33	5	15
41701720	2018-03-21 19:04:17-07:00	0:16:09	80	12	15
41701721	2018-03-21 19:14:24-07:00	0:06:40	60	9	15
41701722	2018-03-21 19:05:15-07:00	0:16:01	60	9	15
41701726	2018-03-21 19:05:11-07:00	0:09:14	80	12	15
41701728	2018-03-21 19:06:05-07:00	0:11:40	93	14	15
41701729	2018-03-21 19:04:26-07:00	0:16:30	80	12	15
41701730	2018-03-21 19:04:17-07:00	0:16:02	87	13	15
41701736	2018-03-21 19:08:06-07:00	0:11:36	40	6	15
41701741	2018-03-21 19:05:43-07:00	0:14:29	60	9	15
41701742	2018-03-21 19:05:16-07:00	0:11:35	87	13	15
41701811	2018-03-21 19:05:00-07:00	0:11:55	87	13	15
41701814	2018-03-21 19:04:16-07:00	0:08:16	100	15	15
41701815	2018-03-21 19:05:33-07:00	0:11:19	100	15	15
41701819	2018-03-21 19:06:16-07:00	0:09:29	67	10	15
41701820	2018-03-21 19:07:44-07:00	0:12:51	100	15	15
41701821	2018-03-21 19:07:25-07:00	0:13:18	33	5	15
41701822	2018-03-21 19:04:29-07:00	0:12:36	47	7	15
41701825	2018-03-21 19:04:11-07:00	0:07:57	80	12	15
41701826	2018-03-21 19:05:45-07:00	0:08:05	100	15	15
41701828	2018-03-21 19:03:59-07:00	0:05:28	100	15	15
41701829	2018-03-21 19:04:47-07:00	0:14:12	100	15	15
41701830	2018-03-21 19:05:54-07:00	0:14:16	80	12	15
41701834	2018-03-21 19:05:38-07:00	0:04:04	100	15	15
41701835	2018-03-21 19:05:17-07:00	0:08:42	100	15	15
41701840	2018-03-21 19:09:13-07:00	0:08:09	67	10	15
41701841	2018-03-21 19:04:54-07:00	0:06:33	93	14	15
41701844	2018-03-21 19:06:25-07:00	0:10:25	53	8	15
41701901	2018-03-21 19:03:57-07:00	0:17:21	93	14	15
41701902	2018-03-21 19:05:24-07:00	0:15:02	93	14	15
41701903	2018-03-21 19:04:13-07:00	0:05:36	87	13	15
41701906	2018-03-21 19:03:54-07:00	0:14:08	20	3	15
41701907	2018-03-21 19:06:08-07:00	0:12:47	60	9	15
41701908	2018-03-21 19:07:35-07:00	0:07:25	73	11	15
41701909	2018-03-21 19:04:37-07:00	0:10:40	60	9	15
41701910	2018-03-21 19:04:10-07:00	0:09:49	87	13	15
41701911	2018-03-21 19:07:22-07:00	0:08:08	47	7	15
41701912	2018-03-21 19:04:50-07:00	0:02:55	20	3	15
41701921	2018-03-21 19:04:41-07:00	0:08:52	33	5	15
41701923	2018-03-21 19:05:23-07:00	0:07:49	73	11	15
41701924	2018-03-21 19:04:25-07:00	0:07:50	100	15	15
41701925	2018-03-21 19:04:17-07:00	0:03:16	100	15	15
41702436	2018-03-21 19:05:14-07:00	0:05:35	100	15	15
41702620	2018-03-21 19:04:40-07:00	0:10:46	100	15	15
41702805	2018-03-21 19:06:44-07:00	0:02:57	87	13	15
41702914	2018-03-21 19:04:02-07:00	0:06:56	93	14	15
41702940	2018-03-21 19:04:45-07:00	0:10:22	60	9	15
41703915	2018-03-21 19:03:42-07:00	0:11:33	80	12	15
41704903	2018-03-21 19:04:03-07:00	0:13:47	67	10	15
