Name,Start Datetime,Time,Percent,Points Earned,Points Possible
41601443,2018-03-21 23:04:07-07:00,0:14:40,87,13,15
41700122,2018-03-21 23:03:49-07:00,0:06:30,100,15,15
41700407,2018-03-21 23:04:01-07:00,0:04:33,40,6,15
41700708,2018-03-21 23:04:31-07:00,0:08:05,47,7,15
41700712,2018-03-21 23:03:37-07:00,0:12:20,93,14,15
41701002,2018-03-21 23:03:42-07:00,0:15:44,100,15,15
41701211,2018-03-21 23:03:46-07:00,0:08:55,53,8,15
41701212,2018-03-21 23:04:36-07:00,0:13:30,93,14,15
41701213,2018-03-21 23:05:13-07:00,0:10:37,100,15,15
41701215,2018-03-21 23:03:51-07:00,0:15:32,93,14,15
41701223,2018-03-21 23:03:56-07:00,0:10:23,100,15,15
41701224,2018-03-21 23:06:57-07:00,0:06:46,67,10,15
41701226,2018-03-21 23:04:16-07:00,0:16:37,73,11,15
41701227,2018-03-21 23:04:32-07:00,0:11:36,100,15,15
41701234,2018-03-21 23:04:27-07:00,0:09:41,87,13,15
41701236,2018-03-21 23:06:33-07:00,0:06:34,20,3,15
41701237,2018-03-21 23:03:46-07:00,0:15:55,53,8,15
41701240,2018-03-21 23:04:25-07:00,0:16:25,47,7,15
41701245,2018-03-21 23:04:11-07:00,0:11:31,100,15,15
41701248,2018-03-21 23:18:55-07:00,0:01:46,13,2,15
41701248,2018-03-21 23:21:46-07:00,0:07:17,80,12,15
41701258,2018-03-21 23:03:49-07:00,0:08:02,80,12,15
41701308,2018-03-21 23:03:30-07:00,0:08:00,100,15,15
41701338,2018-03-21 23:07:38-07:00,0:12:49,67,10,15
41701344,2018-03-21 23:05:51-07:00,0:07:20,93,14,15
41701346,2018-03-21 23:07:37-07:00,0:11:42,47,7,15
41701405,2018-03-21 23:03:09-07:00,0:12:48,100,15,15
41701427,2018-03-21 23:04:18-07:00,0:10:21,93,14,15
41701437,2018-03-21 23:06:49-07:00,0:09:24,33,5,15
41701445,2018-03-21 23:06:07-07:00,0:07:03,87,13,15
41701446,2018-03-21 23:06:02-07:00,0:11:10,87,13,15
41701456,2018-03-21 23:05:41-07:00,0:11:27,67,10,15
41701461,2018-03-21 23:04:56-07:00,0:08:37,100,15,15
41701463,2018-03-21 23:03:30-07:00,0:07:45,100,15,15
41701706,2018-03-21 23:02:52-07:00,0:13:39,60,9,15
41701743,2018-03-21 23:02:50-07:00,0:01:49,100,15,15
41702016,2018-03-21 23:04:01-07:00,0:11:26,73,11,15
41702724,2018-03-21 23:08:40-07:00,0:10:27,80,12,15
41702807,2018-03-21 23:05:57-07:00,0:10:54,100,15,15
41702814,2018-03-21 23:11:33-07:00,0:05:16,87,13,15
41702819,2018-03-21 23:04:10-07:00,0:13:47,87,13,15
41702904,2018-03-21 23:03:19-07:00,0:07:41,67,10,15
41703106,2018-03-21 23:08:22-07:00,0:06:08,7,1,15
41703108,2018-03-21 23:03:49-07:00,0:10:40,80,12,15
41703114,2018-03-21 23:03:34-07:00,0:09:34,40,6,15
41703134,2018-03-21 23:05:13-07:00,0:06:16,67,10,15
41703144,2018-03-21 23:05:31-07:00,0:11:05,73,11,15
41705047,2018-03-21 23:03:47-07:00,0:09:31,73,11,15
41705642,2018-03-21 23:03:51-07:00,0:06:01,40,6,15
41705642,2018-03-21 23:11:50-07:00,0:06:53,100,15,15
41705801,2018-03-21 23:03:50-07:00,0:13:11,73,11,15
41705804,2018-03-21 23:11:25-07:00,0:05:38,60,9,15
41705830,2018-03-21 23:04:37-07:00,0:03:51,60,9,15
41706629,2018-03-21 23:04:02-07:00,0:16:31,60,9,15
41706642,2018-03-21 23:04:22-07:00,0:10:25,60,9,15
Teacher,2018-03-21 23:22:28-07:00,0:03:28,100,15,15
