Name,Start Datetime,Time,Percent,Points Earned,Points Possible
41700955,2018-03-22 17:04:54-07:00,0:06:19,80,12,15
41700956,2018-03-22 17:04:09-07:00,0:11:02,87,13,15
41701003,2018-03-22 17:05:15-07:00,0:11:49,100,15,15
41701005,2018-03-22 17:04:59-07:00,0:09:26,100,15,15
41701007,2018-03-22 17:08:55-07:00,0:03:47,100,15,15
41701011,2018-03-22 17:07:04-07:00,0:07:16,87,13,15
41701012,2018-03-22 17:04:12-07:00,0:14:29,93,14,15
41701016,2018-03-22 17:04:38-07:00,0:14:14,93,14,15
41701017,2018-03-22 17:05:47-07:00,0:12:11,87,13,15
41701020,2018-03-22 17:04:55-07:00,0:07:41,100,15,15
41701021,2018-03-22 17:18:12-07:00,0:07:57,100,15,15
41701023,2018-03-22 17:18:43-07:00,0:04:56,93,14,15
41701026,2018-03-22 17:04:57-07:00,0:06:50,93,14,15
41701027,2018-03-22 17:05:02-07:00,0:04:18,100,15,15
41701032,2018-03-22 17:15:01-07:00,0:09:58,93,14,15
41701033,2018-03-22 17:05:08-07:00,0:07:37,100,15,15
41701035,2018-03-22 17:05:25-07:00,0:09:42,100,15,15
41701037,2018-03-22 17:06:13-07:00,0:08:21,93,14,15
41701043,2018-03-22 17:08:22-07:00,0:08:39,100,15,15
41701049,2018-03-22 17:05:32-07:00,0:09:03,87,13,15
41701057,2018-03-22 17:06:34-07:00,0:09:03,93,14,15
41701102,2018-03-22 17:04:36-07:00,0:08:54,93,14,15
41701106,2018-03-22 17:04:32-07:00,0:08:40,73,11,15
41701112,2018-03-22 17:04:22-07:00,0:06:20,100,15,15
41701113,2018-03-22 17:04:38-07:00,0:13:26,67,10,15
41701115,2018-03-22 17:08:37-07:00,0:07:29,100,15,15
41701124,2018-03-22 17:05:04-07:00,0:03:02,100,15,15
41701126,2018-03-22 17:05:20-07:00,0:03:08,100,15,15
41701145,2018-03-22 17:05:23-07:00,0:09:56,87,13,15
41701147,2018-03-22 17:04:26-07:00,0:11:40,93,14,15
41701150,2018-03-22 17:06:02-07:00,0:04:50,100,15,15
41701151,2018-03-22 17:07:49-07:00,0:11:35,67,10,15
41701152,2018-03-22 17:05:27-07:00,0:03:42,100,15,15
41701153,2018-03-22 17:04:32-07:00,0:05:47,100,15,15
41701157,2018-03-22 17:05:35-07:00,0:12:43,67,10,15
41701203,2018-03-22 17:05:02-07:00,0:10:36,67,10,15
41701209,2018-03-22 17:04:57-07:00,0:13:50,80,12,15
41701347,2018-03-22 17:05:33-07:00,0:12:22,13,2,15
41701455,2018-03-22 17:06:01-07:00,0:08:27,60,9,15
41701524,2018-03-22 17:07:35-07:00,0:13:22,47,7,15
41701525,2018-03-22 17:04:51-07:00,0:07:30,93,14,15
41701526,2018-03-22 17:05:01-07:00,0:09:11,73,11,15
41701527,2018-03-22 17:05:55-07:00,0:05:19,80,12,15
41701528,2018-03-22 17:04:31-07:00,0:09:22,100,15,15
41701533,2018-03-22 17:08:10-07:00,0:09:17,67,10,15
41704010,2018-03-22 17:04:59-07:00,0:06:40,87,13,15
41704150,2018-03-22 17:08:30-07:00,0:11:03,53,8,15
41704341,2018-03-22 17:04:26-07:00,0:07:50,80,12,15
41704532,2018-03-22 17:06:12-07:00,0:05:23,100,15,15
41706637,2018-03-22 17:08:44-07:00,0:11:50,33,5,15
41706744,2018-03-22 17:09:24-07:00,0:10:16,53,8,15
Teacher,2018-03-22 17:21:50-07:00,0:02:46,100,15,15
