Name	Start Datetime	Time	Percent	Points Earned	Points Possible
410707116	2018-03-22 19:04:05-07:00	0:04:15	100	15	15
41700524	2018-03-22 19:04:11-07:00	0:05:47	93	14	15
41701050	2018-03-22 19:03:10-07:00	0:03:45	100	15	15
41701253	2018-03-22 19:04:00-07:00	0:07:02	93	14	15
41701355	2018-03-22 19:03:21-07:00	0:10:04	67	10	15
41701443	2018-03-22 19:04:46-07:00	0:10:02	20	3	15
41701511	2018-03-22 19:06:27-07:00	0:12:34	93	14	15
41701512	2018-03-22 19:06:15-07:00	0:13:54	53	8	15
41701514	2018-03-22 19:03:06-07:00	0:06:59	67	10	15
41701515	2018-03-22 19:08:24-07:00	0:07:41	53	8	15
41701916	2018-03-22 19:04:37-07:00	0:07:37	93	14	15
41702635	2018-03-22 19:03:02-07:00	0:06:39	60	9	15
41702733	2018-03-22 19:02:31-07:00	0:08:00	60	9	15
41702816	2018-03-22 19:03:48-07:00	0:05:18	100	15	15
41702820	2018-03-22 19:03:20-07:00	0:08:20	67	10	15
41702907	2018-03-22 19:19:54-07:00	0:04:53	80	12	15
41702920	2018-03-22 19:02:55-07:00	0:05:02	100	15	15
41702921	2018-03-22 19:02:46-07:00	0:09:03	80	12	15
41703017	2018-03-22 19:02:49-07:00	0:23:46	93	14	15
41703124	2018-03-22 19:05:13-07:00	0:02:59	100	15	15
41703218	2018-03-22 19:03:52-07:00	0:06:47	80	12	15
41703220	2018-03-22 19:04:28-07:00	0:09:36	87	13	15
41703249	2018-03-22 19:04:11-07:00	0:07:50	93	14	15
41703302	2018-03-22 19:03:13-07:00	0:14:54	87	13	15
41703446	2018-03-22 19:03:17-07:00	0:02:43	100	15	15
41703447	2018-03-22 19:03:17-07:00	0:02:50	100	15	15
41703450	2018-03-22 19:03:08-07:00	0:10:35	47	7	15
41703507	2018-03-22 19:03:49-07:00	0:11:42	47	7	15
41703511	2018-03-22 19:04:47-07:00	0:09:53	47	7	15
41703523	2018-03-22 19:06:45-07:00	0:05:16	67	10	15
41703528	2018-03-22 19:11:41-07:00	0:05:52	93	14	15
41703538	2018-03-22 19:05:07-07:00	0:11:14	93	14	15
41703604	2018-03-22 19:04:13-07:00	0:08:19	100	15	15
41703605	2018-03-22 19:05:11-07:00	0:06:13	60	9	15
41703612	2018-03-22 19:04:28-07:00	0:08:32	60	9	15
41703625	2018-03-22 19:04:08-07:00	0:05:56	93	14	15
41703740	2018-03-22 19:05:06-07:00	0:12:12	40	6	15
41703827	2018-03-22 19:04:38-07:00	0:13:24	53	8	15
41703828	2018-03-22 19:04:26-07:00	0:09:22	100	15	15
41703829	2018-03-22 19:04:13-07:00	0:15:03	67	10	15
41703851	2018-03-22 19:03:44-07:00	0:09:16	93	14	15
41703937	2018-03-22 19:04:28-07:00	0:08:30	87	13	15
41704242	2018-03-22 19:03:42-07:00	0:12:01	80	12	15
41705447	2018-03-22 19:04:09-07:00	0:03:17	100	15	15
41706845	2018-03-22 19:05:28-07:00	0:08:31	47	7	15
41706913	2018-03-22 19:05:34-07:00	0:08:24	80	12	15
41706929	2018-03-22 19:04:21-07:00	0:06:35	100	15	15
41706935	2018-03-22 19:04:49-07:00	0:06:56	87	13	15
41707027	2018-03-22 19:03:39-07:00	0:04:34	93	14	15
