Name,Start Datetime,Time,Percent,Points Earned,Points Possible
41701505,2018-03-22 23:04:08-07:00,0:09:02,100,15,15
41701507,2018-03-22 23:05:34-07:00,0:02:26,100,15,15
41701522,2018-03-22 23:05:36-07:00,0:07:35,100,15,15
41701531,2018-03-22 23:03:22-07:00,0:05:41,100,15,15
41701551,2018-03-22 23:02:59-07:00,0:06:18,47,7,15
41702213,2018-03-22 23:03:21-07:00,0:12:37,60,9,15
41704006,2018-03-22 23:02:51-07:00,0:09:39,100,15,15
41704036,2018-03-22 23:03:08-07:00,0:09:15,40,6,15
41704140,2018-03-22 23:04:34-07:00,0:04:58,100,15,15
41704208,2018-03-22 23:03:24-07:00,0:13:28,93,14,15
41704233,2018-03-22 23:03:23-07:00,0:02:02,100,15,15
41704235,2018-03-22 23:03:18-07:00,0:07:47,100,15,15
41704244,2018-03-22 23:03:35-07:00,0:10:14,20,3,15
41704307,2018-03-22 23:03:41-07:00,0:12:17,87,13,15
41704401,2018-03-22 23:04:06-07:00,0:06:27,53,8,15
41704403,2018-03-22 23:02:57-07:00,0:05:53,87,13,15
41704442,2018-03-22 23:04:44-07:00,0:13:20,60,9,15
41704456,2018-03-22 23:04:16-07:00,0:12:12,67,10,15
41704504,2018-03-22 23:04:39-07:00,0:04:23,100,15,15
41704538,2018-03-22 23:03:18-07:00,0:02:13,100,15,15
41704607,2018-03-22 23:04:13-07:00,0:05:15,100,15,15
41704614,2018-03-22 23:04:52-07:00,0:10:51,73,11,15
41704642,2018-03-22 23:02:46-07:00,0:03:14,100,15,15
41704703,2018-03-22 23:04:41-07:00,0:09:52,100,15,15
41704712,2018-03-22 23:05:59-07:00,0:06:13,100,15,15
41704741,2018-03-22 23:03:30-07:00,0:08:01,67,10,15
41704823,2018-03-22 23:06:38-07:00,0:11:25,33,5,15
41704824,2018-03-22 23:07:23-07:00,0:09:55,80,12,15
41704834,2018-03-22 23:03:36-07:00,0:09:49,100,15,15
41704835,2018-03-22 23:03:19-07:00,0:12:15,87,13,15
41704850,2018-03-22 23:02:59-07:00,0:03:46,100,15,15
41704905,2018-03-22 23:09:44-07:00,0:08:06,33,5,15
41704906,2018-03-22 23:04:30-07:00,0:07:26,53,8,15
41704935,2018-03-22 23:03:54-07:00,0:05:30,100,15,15
41704943,2018-03-22 23:03:08-07:00,0:06:10,93,14,15
41705119,2018-03-22 23:07:16-07:00,0:07:14,80,12,15
41705132,2018-03-22 23:03:47-07:00,0:07:32,100,15,15
41705219,2018-03-22 23:03:27-07:00,0:07:37,0,0,15
41705236,2018-03-22 23:03:58-07:00,0:10:21,87,13,15
41705333,2018-03-22 23:05:16-07:00,0:11:00,33,5,15
41705407,2018-03-22 23:06:54-07:00,0:10:09,20,3,15
41705419,2018-03-22 23:04:10-07:00,0:11:01,27,4,15
41705445,2018-03-22 23:04:00-07:00,0:08:46,73,11,15
41705512,2018-03-22 23:04:31-07:00,0:09:47,80,12,15
41705523,2018-03-22 23:04:42-07:00,0:02:29,100,15,15
41705634,2018-03-22 23:03:03-07:00,0:10:04,73,11,15
41705635,2018-03-22 23:03:08-07:00,0:07:26,93,14,15
41705832,2018-03-22 23:04:11-07:00,0:12:42,73,11,15
41706524,2018-03-22 23:05:58-07:00,0:06:28,100,15,15
41706526,2018-03-22 23:05:59-07:00,0:03:30,100,15,15
41706850,2018-03-22 23:04:34-07:00,0:11:19,73,11,15
41707108,2018-03-22 23:03:15-07:00,0:03:56,0,0,15
41707108,2018-03-22 23:07:44-07:00,0:08:50,47,7,15
